n,character,pinyin
1,阿姨,āyí
2,啊,a
3,矮,ǎi
4,爱,ài
5,爱好,àihào
6,爱情,àiqíng
7,安静,ānjìng
8,安排,ānpái
9,安全,ānquán
10,暗,àn
11,按时,ànshí
12,按照,ànzhào
13,八,bā
14,把,bǎ
15,爸爸,bàba
16,吧,ba
17,白,bái
18,百,bǎi
19,班,bān
20,搬,bān
21,半,bàn
22,办法,bànfǎ
23,办公室,bàngōngshì
24,帮忙,bāngmáng
25,帮助,bāngzhù
26,包,bāo
27,包括,bāokuò
28,饱,bǎo
29,保护,bǎohù
30,保证,bǎozhèng
31,抱,bào
32,抱歉,bàoqiàn
33,报道,bàodào
34,报名,bàomíng
35,报纸,bàozhǐ
36,杯子,bēizi
37,北方,běifāng
38,北京,Běijīng
39,倍,bèi
40,被,bèi
41,本,běn
42,本来,běnlái
43,笨,bèn
44,鼻子,bízi
45,比,bǐ
46,比较,bǐjiào
47,比赛,bǐsài
48,笔记本,bǐjìběn
49,必须,bìxū
50,毕业,bìyè
51,遍,biàn
52,变化,biànhuà
53,标准,biāozhǔn
54,表达,biǎodá
55,表格,biǎogé
56,表示,biǎoshì
57,表演,biǎoyǎn
58,表扬,biǎoyáng
59,别,bié
60,别人,biéren
61,宾馆,bīnguǎn
62,冰箱,bīngxiāng
63,饼干,bǐnggān
64,并且,bìngqiě
65,博士,bóshì
66,不但,búdàn
67,不过,búguò
68,不客气,bú kèqi
69,不,bù
70,不得不,bùdébù
71,不管,bùguǎn
72,不仅,bùjǐn
73,部分,bùfen
74,擦,cā
75,猜,cāi
76,才,cái
77,材料,cáiliào
78,菜,cài
79,菜单,càidān
80,参观,cānguān
81,参加,cānjiā
82,草,cǎo
83,层,céng
84,茶,chá
85,差,chà
86,差不多,chàbuduō
87,尝,cháng
88,长,cháng
89,长城,Chángchéng
90,长江,Cháng Jiāng
91,场,chǎng
92,唱歌,chànggē
93,超过,chāoguò
94,超市,chāoshì
95,吵,chǎo
96,衬衫,chènshān
97,成功,chénggōng
98,成绩,chéngjì
99,成熟,chéngshú
100,成为,chéngwéi
101,诚实,chéngshí
102,城市,chéngshì
103,乘坐,chéngzuò
104,吃,chī
105,吃惊,chījīng
106,迟到,chídào
107,重新,chóngxīn
108,抽烟,chōuyān
109,出,chū
110,出差,chūchāi
111,出发,chūfā
112,出生,chūshēng
113,出现,chūxiàn
114,出租车,chūzūchē
115,厨房,chúfáng
116,除了,chúle
117,穿,chuān
118,船,chuán
119,传真,chuánzhēn
120,窗户,chuānghu
121,春,chūn
122,词典,cídiǎn
123,词语,cíyǔ
124,次,cì
125,聪明,cōngming
126,从,cóng
127,从来,cónglái
128,粗心,cūxīn
129,错,cuò
130,答案,dá'àn
131,打扮,dǎban
132,打电话,dǎ diànhuà
133,打篮球,dǎ lánqiú
134,打扰,dǎrǎo
135,打扫,dǎsǎo
136,打算,dǎsuàn
137,打印,dǎyìn
138,打折,dǎzhé
139,打针,dǎzhēn
140,大,dà
141,大概,dàgài
142,大家,dàjiā
143,大使馆,dàshǐguǎn
144,大约,dàyuē
145,带,dài
146,戴,dài
147,代表,dàibiǎo
148,代替,dàitì
149,大夫,dàifu
150,担心,dānxīn
151,蛋糕,dàngāo
152,但是,dànshì
153,当,dāng
154,当地,dāngdì
155,当然,dāngrán
156,当时,dāngshí
157,刀,dāo
158,导游,dǎoyóu
159,到,dào
160,到处,dàochù
161,到底,dàodǐ
162,道歉,dàoqiàn
163,得意,déyì
164,地,de
165,的,de
166,得,de
167,得,děi
168,灯,dēng
169,等（动）,děng
170,等（助）,děng
171,低,dī
172,底,dǐ
173,弟弟,dìdi
174,地方,dìfang
175,地球,dìqiú
176,地铁,dìtiě
177,地图,dìtú
178,地址,dìzhǐ
179,第一,dì-yī
180,点,diǎn
181,电脑,diànnǎo
182,电视,diànshì
183,电梯,diàntī
184,电影,diànyǐng
185,电子邮件,diànzǐ yóujiàn
186,掉,diào
187,调查,diàochá
188,丢,diū
189,冬,dōng
190,东,dōng
191,东西,dōngxi
192,懂,dǒng
193,动物,dòngwù
194,动作,dòngzuò
195,都,dōu
196,读,dú
197,堵车,dǔchē
198,肚子,dùzi
199,短,duǎn
200,段,duàn
201,断,duàn
202,锻炼,duànliàn
203,对（形）,duì
204,对（介）,duì
205,对不起,duìbuqǐ
206,对话,duìhuà
207,对面,duìmiàn
208,顿,dùn
209,多,duō
210,多么,duōme
211,多少,duōshao
212,朵,duǒ
213,饿,è
214,而,ér
215,而且,érqiě
216,儿童,értóng
217,儿子,érzi
218,耳朵,ěrduo
219,二,èr
220,发,fā
221,发烧,fāshāo
222,发生,fāshēng
223,发现,fāxiàn
224,发展,fāzhǎn
225,法律,fǎlǜ
226,翻译,fānyì
227,烦恼,fánnǎo
228,反对,fǎnduì
229,反映,fǎnyìng
230,饭馆,fànguǎn
231,范围,fànwéi
232,方便,fāngbiàn
233,方法,fāngfǎ
234,方面,fāngmiàn
235,方向,fāngxiàng
236,房间,fángjiān
237,访问,fǎngwèn
238,放,fàng
239,放弃,fàngqì
240,放暑假,fàng shǔjià
241,放心,fàngxīn
242,非常,fēicháng
243,飞机,fēijī
244,分,fēn
245,…分之…,fēnzhī
246,分钟,fēnzhōng
247,份,fèn
248,丰富,fēngfù
249,风景,fēngjǐng
250,否则,fǒuzé
251,符合,fúhé
252,服务员,fúwùyuán
253,富,fù
254,附近,fùjìn
255,父亲,fùqīn
256,复习,fùxí
257,复印,fùyìn
258,复杂,fùzá
259,负责,fùzé
260,改变,gǎibiàn
261,干杯,gānbēi
262,干净,gānjìng
263,干燥,gānzào
264,敢,gǎn
265,感动,gǎndòng
266,感觉,gǎnjué
267,感冒,gǎnmào
268,感情,gǎnqíng
269,感谢,gǎnxiè
270,干,gàn
271,刚才,gāngcái
272,刚刚,gānggāng
273,高,gāo
274,高级,gāojí
275,高兴,gāoxìng
276,告诉,gàosu
277,哥哥,gēge
278,各,gè
279,个,gè
280,个子,gèzi
281,给,gěi
282,跟,gēn
283,根据,gēnjù
284,更,gèng
285,公共汽车,gōnggòngqìchē
286,公斤,gōngjīn
287,公里,gōnglǐ
288,公司,gōngsī
289,公园,gōngyuán
290,工具,gōngjù
291,工资,gōngzī
292,工作,gōngzuò
293,共同,gòngtóng
294,狗,gǒu
295,够,gòu
296,购物,gòuwù
297,孤单,gūdān
298,估计,gūjì
299,鼓励,gǔlì
300,鼓掌,gǔzhǎng
301,顾客,gùkè
302,故事,gùshi
303,故意,gùyì
304,刮风,guā fēng
305,挂,guà
306,关,guān
307,关键,guānjiàn
308,关系,guānxì
309,关心,guānxīn
310,关于,guānyú
311,观众,guānzhòng
312,管理,guǎnlǐ
313,光,guāng
314,广播,guǎngbō
315,广告,guǎnggào
316,逛,guàng
317,规定,guīdìng
318,贵,guì
319,国际,guójì
320,国家,guójiā
321,果然,guǒrán
322,果汁,guǒzhī
323,过（动）,guò
324,过（助）,guo
325,过程,guòchéng
326,过去,guòqù
327,还,hái
328,还是,háishì
329,孩子,háizi
330,海洋,hǎiyáng
331,害怕,hàipà
332,害羞,hàixiū
333,寒假,hánjià
334,汗,hàn
335,汉语,Hànyǔ
336,航班,hángbān
337,好,hǎo
338,好吃,hǎochī
339,好处,hǎochu
340,好像,hǎoxiàng
341,号,hào
342,号码,hàomǎ
343,喝,hē
344,和,hé
345,河,hé
346,合格,hégé
347,合适,héshì
348,盒子,hézi
349,黑,hēi
350,黑板,hēibǎn
351,很,hěn
352,红,hóng
353,猴子,hóuzi
354,厚,hòu
355,后悔,hòuhuǐ
356,后来,hòulái
357,后面,hòumiàn
358,忽然,hūrán
359,护士,hùshi
360,护照,hùzhào
361,互相,hùxiāng
362,花（动）,huā
363,花园,huāyuán
364,画,huà
365,怀疑,huáiyí
366,坏,huài
367,欢迎,huānyíng
368,还,huán
369,环境,huánjìng
370,换,huàn
371,黄,huáng
372,回,huí
373,回答,huídá
374,回忆,huíyì
375,会,huì
376,会议,huìyì
377,活动,huódòng
378,活泼,huópō
379,火,huǒ
380,火车站,huǒchēzhàn
381,获得,huòdé
382,或者,huòzhě
383,机场,jīchǎng
384,机会,jīhuì
385,基础,jīchǔ
386,鸡蛋,jīdàn
387,激动,jīdòng
388,几乎,jīhū
389,积极,jījí
390,积累,jīlěi
391,极,jí
392,极其,jíqí
393,集合,jíhé
394,及时,jíshí
395,即使,jíshǐ
396,几,jǐ
397,寄,jì
398,记得,jìde
399,记者,jìzhě
400,计划,jìhuà
401,季节,jìjié
402,既然,jìrán
403,技术,jìshù
404,继续,jìxù
405,家,jiā
406,家具,jiājù
407,加班,jiābān
408,加油站,jiāyóuzhàn
409,假,jiǎ
410,价格,jiàgé
411,坚持,jiānchí
412,检查,jiǎnchá
413,简单,jiǎndān
414,减肥,jiǎnféi
415,减少,jiǎnshǎo
416,件,jiàn
417,健康,jiànkāng
418,见面,jiànmiàn
419,将来,jiānglái
420,讲,jiǎng
421,奖金,jiǎngjīn
422,降低,jiàngdī
423,教,jiāo
424,交,jiāo
425,交流,jiāoliú
426,交通,jiāotōng
427,骄傲,jiāo'ào
428,角,jiǎo
429,脚,jiǎo
430,饺子,jiǎozi
431,叫,jiào
432,教室,jiàoshì
433,教授,jiàoshòu
434,教育,jiàoyù
435,接,jiē
436,接受,jiēshòu
437,街道,jiēdào
438,结果,jiéguǒ
439,结婚,jiéhūn
440,结束,jiéshù
441,节目,jiémù
442,节日,jiérì
443,节约,jiéyuē
444,姐姐,jiějie
445,解决,jiějué
446,解释,jiěshì
447,借,jiè
448,介绍,jièshào
449,今天,jīntiān
450,尽管,jǐnguǎn
451,紧张,jǐnzhāng
452,近,jìn
453,进,jìn
454,进行,jìnxíng
455,禁止,jìnzhǐ
456,精彩,jīngcǎi
457,精神,jīngshén
458,经常,jīngcháng
459,经过,jīngguò
460,经济,jīngjì
461,经理,jīnglǐ
462,经历,jīnglì
463,经验,jīngyàn
464,京剧,jīngjù
465,警察,jǐngchá
466,竟然,jìngrán
467,竞争,jìngzhēng
468,镜子,jìngzi
469,究竟,jiūjìng
470,九,jiǔ
471,久,jiǔ
472,旧,jiù
473,就,jiù
474,举办,jǔbàn
475,举行,jǔxíng
476,拒绝,jùjué
477,距离,jùlí
478,句子,jùzi
479,觉得,juéde
480,决定,juédìng
481,咖啡,kāfēi
482,开,kāi
483,开始,kāishǐ
484,开玩笑,kāi wánxiào
485,看,kàn
486,看法,kànfǎ
487,看见,kànjiàn
488,考虑,kǎolǜ
489,考试,kǎoshì
490,棵,kē
491,科学,kēxué
492,咳嗽,késou
493,渴,kě
494,可爱,kě'ài
495,可怜,kělián
496,可能,kěnéng
497,可是,kěshì
498,可惜,kěxī
499,可以,kěyǐ
500,刻,kè
501,课,kè
502,客人,kèrén
503,肯定,kěndìng
504,空气,kōngqì
505,空调,kōngtiáo
506,恐怕,kǒngpà
507,口,kǒu
508,哭,kū
509,苦,kǔ
510,裤子,kùzi
511,块,kuài
512,快,kuài
513,快乐,kuàilè
514,筷子,kuàizi
515,宽,kuān
516,困,kùn
517,困难,kùnnan
518,扩大,kuòdà
519,拉,lā
520,垃圾桶,lājītǒng
521,辣,là
522,来,lái
523,来不及,láibují
524,来得及,láidejí
525,蓝,lán
526,懒,lǎn
527,浪费,làngfèi
528,浪漫,làngmàn
529,老,lǎo
530,老虎,lǎohǔ
531,老师,lǎoshī
532,了,le
533,累,lèi
534,冷,lěng
535,冷静,lěngjìng
536,离,lí
537,离开,líkāi
538,里,lǐ
539,理发,lǐfà
540,理解,lǐjiě
541,理想,lǐxiǎng
542,礼貌,lǐmào
543,礼物,lǐwù
544,厉害,lìhai
545,力气,lìqi
546,例如,lìrú
547,历史,lìshǐ
548,俩,liǎ
549,连,lián
550,联系,liánxì
551,脸,liǎn
552,练习,liànxí
553,凉快,liángkuai
554,两,liǎng
555,亮,liàng
556,辆,liàng
557,聊天,liáotiān
558,了解,liǎojiě
559,邻居,línjū
560,零,líng
561,另外,lìngwài
562,留,liú
563,留学,liúxué
564,流泪,liúlèi
565,流利,liúlì
566,流行,liúxíng
567,六,liù
568,楼,lóu
569,路,lù
570,乱,luàn
